iter	Passed	Remaining
1202	9407	68794
1203	9414	68780
1204	9422	68771
1205	9429	68760
1206	9436	68745
1207	9443	68727
1208	9448	68703
1209	9455	68690
1210	9461	68670
1211	9467	68648
1212	9474	68635
1213	9481	68616
1214	9487	68596
1215	9493	68577
1216	9499	68556
1217	9505	68539
1218	9511	68516
1219	9517	68495
1220	9524	68478
1221	9530	68460
1222	9538	68454
1223	9546	68445
1224	9554	68439
1225	9561	68430
1226	9570	68430
1227	9578	68420
1228	9586	68416
1229	9595	68416
1230	9604	68416
1231	9612	68409
1232	9621	68410
1233	9627	68393
1234	9634	68376
1235	9642	68368
1236	9649	68356
1237	9657	68351
1238	9664	68339
1239	9673	68337
1240	9679	68320
1241	9690	68330
1242	9696	68314
1243	9704	68306
1244	9710	68286
1245	9718	68281
1246	9725	68264
1247	9731	68244
1248	9738	68229
1249	9744	68209
1250	9751	68198
1251	9757	68178
1252	9763	68160
1253	9771	68151
1254	9777	68130
1255	9784	68119
1256	9790	68098
1257	9796	68079
1258	9804	68074
1259	9811	68056
1260	9818	68041
1261	9824	68021
1262	9830	68005
1263	9837	67988
1264	9843	67968
1265	9849	67954
1266	9857	67947
1267	9865	67935
1268	9871	67915
1269	9877	67896
1270	9884	67883
1271	9890	67866
1272	9898	67858
1273	9905	67846
1274	9911	67827
1275	9919	67819
1276	9926	67805
1277	9935	67804
1278	9942	67792
1279	9950	67785
1280	9957	67772
1281	9965	67768
1282	9972	67757
1283	9980	67748
1284	9986	67729
1285	9992	67707
1286	9999	67699
1287	10005	67678
1288	10013	67670
1289	10020	67656
1290	10027	67642
1291	10033	67624
1292	10039	67602
1293	10045	67587
1294	10051	67566
1295	10057	67544
1296	10063	67528
1297	10070	67515
1298	10077	67499
1299	10082	67478
1300	10088	67457
1301	10096	67449
1302	10102	67430
1303	10109	67416
1304	10116	67401
1305	10123	67388
1306	10130	67379
1307	10137	67364
1308	10144	67353
1309	10150	67333
1310	10157	67318
1311	10163	67303
1312	10169	67285
1313	10176	67273
1314	10182	67253
1315	10189	67236
1316	10195	67218
1317	10201	67198
1318	10208	67185
1319	10215	67172
1320	10221	67153
1321	10227	67134
1322	10232	67113
1323	10239	67095
1324	10244	67075
1325	10250	67054
1326	10256	67035
1327	10262	67014
1328	10268	66994
1329	10274	66978
1330	10280	66956
1331	10286	66938
1332	10292	66921
1333	10298	66899
1334	10305	66888
1335	10311	66868
1336	10316	66846
1337	10324	66837
1338	10330	66822
1339	10337	66807
1340	10343	66788
1341	10348	66766
1342	10355	66752
1343	10361	66732
1344	10366	66710
1345	10373	66694
1346	10378	66673
1347	10384	66654
1348	10391	66637
1349	10396	66616
1350	10403	66601
1351	10409	66583
1352	10414	66561
1353	10421	66549
1354	10429	66540
1355	10437	66533
1356	10444	66519
1357	10451	66511
1358	10458	66501
1359	10466	66491
1360	10473	66483
1361	10479	66464
1362	10487	66459
1363	10493	66439
1364	10500	66424
1365	10506	66405
1366	10511	66385
1367	10518	66373
1368	10525	66359
1369	10531	66342
1370	10538	66329
1371	10544	66308
1372	10550	66291
1373	10556	66271
1374	10561	66250
1375	10568	66234
1376	10573	66213
1377	10579	66194
1378	10585	66178
1379	10591	66158
1380	10599	66153
1381	10605	66134
1382	10611	66115
1383	10620	66119
1384	10629	66117
1385	10637	66111
1386	10644	66100
1387	10651	66090
1388	10659	66081
1389	10667	66074
1390	10674	66068
1391	10683	66063
1392	10690	66054
1393	10699	66051
1394	10705	66039
1395	10712	66027
1396	10718	66008
1397	10724	65990
1398	10732	65983
1399	10739	65971
1400	10745	65955
1401	10752	65939
1402	10758	65921
1403	10764	65907
1404	10770	65888
1405	10777	65877
1406	10783	65860
1407	10789	65841
1408	10796	65830
1409	10802	65812
1410	10809	65797
1411	10815	65780
1412	10821	65760
1413	10827	65748
1414	10834	65736
1415	10841	65721
1416	10847	65702
1417	10852	65684
1418	10860	65675
1419	10866	65657
1420	10872	65639
1421	10879	65627
1422	10885	65608
1423	10891	65595
1424	10897	65577
1425	10903	65559
1426	10910	65546
1427	10916	65526
1428	10921	65508
1429	10929	65497
1430	10935	65481
1431	10942	65471
1432	10948	65452
1433	10953	65433
1434	10960	65422
1435	10966	65403
1436	10973	65390
1437	10979	65374
1438	10985	65356
1439	10992	65343
1440	10998	65326
1441	11005	65312
1442	11011	65295
1443	11016	65277
1444	11024	65269
1445	11031	65257
1446	11037	65242
1447	11043	65223
1448	11049	65205
1449	11056	65193
1450	11062	65175
1451	11068	65159
1452	11074	65144
1453	11080	65125
1454	11086	65111
1455	11092	65093
1456	11098	65074
1457	11105	65061
1458	11111	65048
1459	11119	65040
1460	11125	65025
1461	11131	65009
1462	11139	64999
1463	11145	64986
1464	11152	64973
1465	11158	64957
1466	11164	64940
1467	11171	64929
1468	11177	64913
1469	11184	64900
1470	11190	64885
1471	11196	64866
1472	11203	64854
1473	11209	64837
1474	11215	64822
1475	11222	64808
1476	11227	64790
1477	11235	64783
1478	11242	64772
1479	11250	64763
1480	11256	64747
1481	11261	64729
1482	11269	64721
1483	11275	64705
1484	11282	64695
1485	11289	64685
1486	11296	64674
1487	11304	64668
1488	11312	64660
1489	11320	64656
1490	11328	64648
1491	11336	64642
1492	11343	64634
1493	11351	64627
1494	11358	64618
1495	11368	64624
1496	11377	64624
1497	11385	64621
1498	11392	64606
1499	11399	64595
1500	11405	64581
1501	11412	64569
1502	11418	64553
1503	11424	64536
1504	11432	64528
1505	11439	64517
1506	11448	64517
1507	11454	64501
1508	11461	64493
1509	11468	64479
1510	11474	64463
1511	11481	64452
1512	11487	64436
1513	11493	64423
1514	11499	64405
1515	11505	64386
1516	11512	64378
1517	11518	64360
1518	11524	64343
1519	11530	64326
1520	11535	64307
1521	11542	64293
1522	11549	64283
1523	11555	64266
1524	11561	64253
1525	11567	64235
1526	11573	64220
1527	11579	64203
1528	11585	64188
1529	11592	64175
1530	11598	64158
1531	11604	64141
1532	11610	64129
1533	11616	64111
1534	11622	64095
1535	11628	64077
1536	11634	64060
1537	11640	64046
1538	11648	64037
1539	11653	64020
1540	11661	64012
1541	11666	63993
1542	11674	63986
1543	11681	63978
1544	11691	63981
1545	11698	63971
1546	11708	63974
1547	11715	63967
1548	11724	63966
1549	11731	63957
1550	11741	63960
1551	11749	63954
1552	11758	63955
1553	11766	63953
1554	11774	63945
1555	11780	63928
1556	11786	63916
1557	11792	63899
1558	11798	63881
1559	11805	63868
1560	11810	63850
1561	11816	63832
1562	11822	63816
1563	11828	63799
1564	11834	63783
1565	11840	63769
1566	11846	63751
1567	11852	63737
1568	11859	63726
1569	11865	63709
1570	11871	63695
1571	11877	63679
1572	11883	63663
1573	11889	63647
1574	11895	63629
1575	11901	63615
1576	11907	63599
1577	11913	63581
1578	11919	63566
1579	11925	63549
1580	11930	63532
1581	11936	63517
1582	11942	63500
1583	11948	63483
1584	11954	63468
1585	11960	63451
1586	11966	63437
1587	11974	63431
1588	11980	63414
1589	11986	63400
1590	11992	63383
1591	11998	63370
1592	12004	63355
1593	12010	63339
1594	12016	63324
1595	12022	63306
1596	12028	63289
1597	12035	63278
1598	12040	63259
1599	12046	63243
1600	12052	63228
1601	12058	63211
1602	12064	63198
1603	12071	63186
1604	12078	63174
1605	12084	63162
1606	12090	63147
1607	12097	63135
1608	12103	63120
1609	12109	63106
1610	12116	63093
1611	12122	63079
1612	12129	63066
1613	12135	63053
1614	12141	63036
1615	12147	63024
1616	12153	63006
1617	12159	62991
1618	12165	62977
1619	12171	62960
1620	12177	62945
1621	12184	62937
1622	12190	62921
1623	12197	62911
1624	12203	62896
1625	12210	62882
1626	12216	62869
1627	12222	62855
1628	12229	62845
1629	12235	62830
1630	12242	62817
1631	12248	62803
1632	12254	62788
1633	12261	62777
1634	12267	62764
1635	12273	62750
1636	12281	62743
1637	12287	62729
1638	12296	62726
1639	12304	62724
1640	12314	62727
1641	12321	62718
1642	12332	62727
1643	12341	62730
1644	12351	62731
1645	12361	62738
1646	12369	62736
1647	12381	62750
1648	12391	62754
1649	12401	62760
1650	12414	62779
1651	12425	62789
1652	12437	62806
1653	12449	62820
1654	12462	62837
1655	12471	62839
1656	12481	62844
1657	12493	62858
1658	12501	62856
1659	12512	62865
1660	12521	62861
1661	12529	62858
1662	12540	62869
1663	12547	62860
1664	12558	62865
1665	12566	62860
1666	12576	62869
1667	12583	62859
1668	12595	62870
1669	12606	62883
1670	12615	62882
1671	12625	62886
1672	12632	62875
1673	12642	62882
1674	12650	62876
1675	12660	62879
